node,label,sponsor,node_type,size,color,shape,sponsored,cosponsored,source
80,"Donalds, Byron [Rep.-R-FL-19]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
81,"Duncan, Jeff [Rep.-R-SC-3]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
82,"Ellzey, Jake [Rep.-R-TX-6]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
83,"Ernst, Joni [Sen.-R-IA]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
84,"Estes, Ron [Rep.-R-KS-4]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
85,"Fallon, Pat [Rep.-R-TX-4]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
86,"Finstad, Brad [Rep.-R-MN-1]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
87,"Fischbach, Michelle [Rep.-R-MN-7]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
88,"Fischer, Deb [Sen.-R-NE]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
89,"Fitzpatrick, Brian K. [Rep.-R-PA-1]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
90,"Foxx, Virginia [Rep.-R-NC-5]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
91,"Frankel, Lois [Rep.-D-FL-22]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
92,"Gaetz, Matt [Rep.-R-FL-1]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
93,"Garcia, Jesus G. ""Chuy"" [Rep.-D-IL-4]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
94,"Gillibrand, Kirsten E. [Sen.-D-NY]",NA,cosponsor,60.0,#0047AB,o,NA,S. 2281,17.0
95,"Goldman, Daniel S. [Rep.-D-NY-10]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
96,"Gomez, Jimmy [Rep.-D-CA-34]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
97,"Good, Bob [Rep.-R-VA-5]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
98,"Gottheimer, Josh [Rep.-D-NJ-5]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
99,"Grassley, Chuck [Sen.-R-IA]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 14,23.0
100,"Green, Al [Rep.-D-TX-9]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
